ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
3718,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%7B%232500*8736%7Dzj,404,Not Found,2,132,0
3719,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,58
3720,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,2,183,388
3721,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%7B%405768*8050%7Dzj,404,Not Found,2,132,0
3722,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%23%7B2561*2617%7Dzj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,5,182,37
3723,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,58
3724,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,4,183,388
3725,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Produto,400,Bad Request,3,182,67
3726,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Cliente/zj%24%7B2038*8271%7Dzj,400,Bad Request,4,183,255
3727,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%7B%7B3740*6085%7D%7Dzj,404,Not Found,3,132,0
3728,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,4,182,58
3729,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,4,183,388
3730,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%7B%7B%3D9031*4776%7D%7Dzj,404,Not Found,4,132,0
3731,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,2,182,58
3732,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%7B%232016*9141%7Dzj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,7,182,37
3733,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,2,183,388
3734,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%3C%25%3D7659*6625%25%3Ezj,404,Not Found,2,132,0
3735,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%23set%28%24x%3D2068*6410%29%24%7Bx%7Dzj,404,Not Found,1,132,0
3736,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,3,182,58
3737,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,2,183,388
3738,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,DELETE,http://localhost:3000/api/Cliente?nome=zj%7B%408755*2652%7Dzj&numeroCelular=numeroCelular&endereco=endereco,400,Bad Request,4,182,37
3739,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Cliente,400,Bad Request,2,182,58
3740,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,GET,http://localhost:3000/api/Pedido/zj%3Cp+th%3Atext%3D%22%24%7B4844*3865%7D%22%3E%3C%2Fp%3Ezj,404,Not Found,3,132,0
3741,Sun Jun 23 11:50:25 BRT 2024,Sun Jun 23 11:50:25 BRT 2024,POST,http://localhost:3000/api/Pedido,400,Bad Request,3,183,388
